A�o,Columna1,Mes,Trimestre,_id,ccaa_iso,fecha,num_casos,num_casos_prueba_ag,num_casos_prueba_desconocida,num_casos_prueba_elisa,num_casos_prueba_pcr,num_casos_prueba_test_ac
2020,2020T1,1,T1,61ed75380634bb5d3b3341a3,NC,03/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b3341a4,PV,03/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b3341a5,RI,03/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b3341a6,VC,03/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b3341a7,AN,04/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b3341a8,AR,04/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b3341a9,AS,04/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b3341aa,CB,04/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b3341ab,CE,04/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b3341ac,CL,04/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b3341ad,CM,04/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b3341ae,CN,04/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b3341af,CT,04/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b3341b0,EX,04/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b3341b1,GA,04/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b3341b2,IB,04/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b3341b3,MC,04/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b3341b4,MD,04/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b3341b5,ML,04/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b3341b6,NC,04/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b3341b7,PV,04/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b3341b8,RI,04/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b3341b9,VC,04/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b3341ba,AN,05/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b3341bb,AR,05/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b3341bc,AS,05/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b3341bd,CB,05/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b3341be,CE,05/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b3341bf,CL,05/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b3341c0,CM,05/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b3341c1,CN,05/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b3341c2,CT,05/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b3341c3,EX,05/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b3341c4,GA,05/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b3341c5,IB,05/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b3341c6,MC,05/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b3341c7,MD,05/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b3341c8,ML,05/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b3341c9,NC,05/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b3341ca,PV,05/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b3341cb,RI,05/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b3341cc,VC,05/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b3341cd,AN,06/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b3341ce,AR,06/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b3341cf,AS,06/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b3341d0,CB,06/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b3341d1,CE,06/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b3341d2,CL,06/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b3341d3,CM,06/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b3341d4,CN,06/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b3341d5,CT,06/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b3341d6,EX,06/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b3341d7,GA,06/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b3341d8,IB,06/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b3341d9,MC,06/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b3341da,MD,06/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b3341db,ML,06/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b3341dc,NC,06/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b3341dd,PV,06/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b3341de,RI,06/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b3341df,VC,06/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b3341e0,AN,07/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b3341e1,AR,07/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b3341e2,AS,07/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b3341e3,CB,07/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b3341e4,CE,07/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b3341e5,CL,07/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b3341e6,CM,07/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b3341e7,CN,07/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b3341e8,CT,07/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b3341e9,EX,07/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b3341ea,GA,07/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b3341eb,IB,07/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b3341ec,MC,07/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b3341ed,MD,07/01/2020,0,0,0,0,0,0
2020,2020T1,1,T1,61ed75380634bb5d3b3341ee,ML,07/01/2020,0,0,0,0,0,0
