,Año,Mes,Periodo,fecha_int,Curso Lectivo,altitud,tmed,tmin,tmax,presMax,presMin,ccaa_iso_AN,ccaa_iso_AR,ccaa_iso_AS,ccaa_iso_CB,ccaa_iso_CE,ccaa_iso_CL,ccaa_iso_CM,ccaa_iso_CN,ccaa_iso_CT,ccaa_iso_EX,ccaa_iso_GA,ccaa_iso_IB,ccaa_iso_MC,ccaa_iso_MD,ccaa_iso_ML,ccaa_iso_NC,ccaa_iso_PV,ccaa_iso_RI,ccaa_iso_VC,Estacion_Invierno,Estacion_Otoño,Estacion_Primavera,Estacion_Verano,Trimestre_T1,Trimestre_T2,Trimestre_T3,Trimestre_T4,num_casos
21,2020,4,202002,10042020,1,434.75,17.49618702255768,11.298121595773821,23.69567670321406,969.6185841417064,965.604942415707,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,104
22,2020,4,202002,11042020,1,434.75,17.49618702255768,11.298121595773821,23.69567670321406,969.6185841417064,965.604942415707,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,106
23,2020,4,202002,12042020,1,434.75,17.49618702255768,11.298121595773821,23.69567670321406,969.6185841417064,965.604942415707,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,89
24,2020,4,202002,13042020,1,434.75,17.49618702255768,11.298121595773821,23.69567670321406,969.6185841417064,965.604942415707,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,79
25,2020,4,202002,14042020,1,434.75,17.49618702255768,11.298121595773821,23.69567670321406,969.6185841417064,965.604942415707,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,67
26,2020,4,202002,15042020,1,434.75,17.49618702255768,11.298121595773821,23.69567670321406,969.6185841417064,965.604942415707,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,107
27,2020,4,202002,16042020,1,434.75,17.49618702255768,11.298121595773821,23.69567670321406,969.6185841417064,965.604942415707,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,57
28,2020,4,202002,17042020,1,434.75,17.49618702255768,11.298121595773821,23.69567670321406,969.6185841417064,965.604942415707,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,71
29,2020,4,202002,18042020,1,434.75,17.49618702255768,11.298121595773821,23.69567670321406,969.6185841417064,965.604942415707,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,47
30,2020,4,202002,19042020,1,434.75,17.49618702255768,11.298121595773821,23.69567670321406,969.6185841417064,965.604942415707,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,40
