,Año,Mes,fecha_x,Periodo,fecha_int,Curso Lectivo,altitud,tmed,tmin,tmax,presMax,presMin,ccaa_iso,Estacion,Trimestre,num_casos
272,2022,06,2022-06-04,202202,4062022,1,434.75,21.2875,15.8,26.7875,967.3125,963.4125,AN,Primavera,T2,0
274,2022,06,2022-06-05,202202,5062022,1,434.75,21.42,15.16,27.66,969.09375,965.63125,AN,Primavera,T2,0
276,2022,06,2022-06-06,202202,6062022,1,434.75,22.05,13.975,30.1625,968.45,963.25625,AN,Primavera,T2,0
278,2022,06,2022-06-07,202202,7062022,1,434.75,22.6625,15.91875,29.43125,967.19375,963.625,AN,Primavera,T2,0
280,2022,06,2022-06-08,202202,8062022,1,434.75,22.4625,14.81875,30.125,968.28125,965.01875,AN,Primavera,T2,0
282,2022,06,2022-06-09,202202,9062022,1,434.75,22.6875,14.331249999999999,31.05,969.125,965.9875,AN,Primavera,T2,0
284,2022,06,2022-06-10,202202,10062022,1,434.75,23.41875,15.375,31.4875,967.99375,964.23125,AN,Primavera,T2,0
286,2022,06,2022-06-11,202202,11062022,1,434.75,22.36875,15.35,29.375,965.9375,961.20625,AN,Primavera,T2,0
288,2022,06,2022-06-12,202202,12062022,1,434.75,21.125,15.125,27.1375,966.875,962.35625,AN,Primavera,T2,0
290,2022,06,2022-06-13,202202,13062022,1,434.75,21.186666666666667,14.406666666666666,27.986666666666668,970.0933333333334,966.56,AN,Primavera,T2,0
292,2022,06,2022-06-14,202202,14062022,1,434.75,23.0,15.5125,30.475,970.91875,966.625,AN,Primavera,T2,0
294,2022,06,2022-06-15,202202,15062022,1,434.75,22.453333333333333,15.373333333333333,29.540000000000003,970.01875,966.33125,AN,Primavera,T2,0
296,2022,06,2022-06-16,202202,16062022,1,434.75,22.333333333333332,16.386666666666667,28.273333333333333,968.21875,964.23125,AN,Primavera,T2,0
298,2022,06,2022-06-17,202202,17062022,1,434.75,20.98,15.633333333333333,26.34,966.4125,962.425,AN,Primavera,T2,0
300,2022,06,2022-06-18,202202,18062022,1,434.75,20.733333333333334,14.18,27.30666666666667,966.58125,962.2375,AN,Primavera,T2,0
302,2022,06,2022-06-19,202202,19062022,1,434.75,20.9,14.333333333333334,27.446666666666665,968.98125,965.2375,AN,Primavera,T2,0
304,2022,06,2022-06-20,202202,20062022,1,434.75,21.978571428571428,14.835714285714285,29.092857142857145,969.2133333333334,966.1533333333333,AN,Primavera,T2,0
306,2022,06,2022-06-21,202202,21062022,1,434.75,23.19333333333333,15.766666666666667,30.626666666666665,966.2466666666667,963.0,AN,Primavera,T2,0
308,2022,06,2022-06-22,202202,22062022,1,434.75,23.78666666666667,15.853333333333333,31.706666666666663,968.6,964.6,AN,Verano,T2,0
