Estacion;fecha;Curso Lectivo
Otoño;09/11/2020;1
Otoño;10/11/2020;1
Otoño;11/11/2020;1
Otoño;12/11/2020;1
Otoño;13/11/2020;1
Otoño;14/11/2020;1
Otoño;15/11/2020;1
Otoño;16/11/2020;1
Otoño;17/11/2020;1
Otoño;18/11/2020;1
Otoño;19/11/2020;1
Otoño;20/11/2020;1
Otoño;21/11/2020;1
Otoño;22/11/2020;1
Otoño;23/11/2020;1
Otoño;24/11/2020;1
Otoño;25/11/2020;1
Otoño;26/11/2020;1
Otoño;27/11/2020;1
Otoño;28/11/2020;1
Otoño;29/11/2020;1
Otoño;30/11/2020;1
Otoño;01/12/2020;1
Otoño;02/12/2020;1
Otoño;03/12/2020;1
Otoño;04/12/2020;1
Otoño;05/12/2020;1
Otoño;06/12/2020;1
Otoño;07/12/2020;1
Otoño;08/12/2020;1
Otoño;09/12/2020;1
Otoño;10/12/2020;1
Otoño;11/12/2020;1
Otoño;12/12/2020;1
Otoño;13/12/2020;1
Otoño;14/12/2020;1
Otoño;15/12/2020;1
Otoño;16/12/2020;1
Otoño;17/12/2020;1
Otoño;18/12/2020;1
Otoño;19/12/2020;1
Otoño;20/12/2020;1
Otoño;21/12/2020;1
Invierno;22/12/2020;1
Invierno;23/12/2020;1
Invierno;24/12/2020;0
Invierno;25/12/2020;0
Invierno;26/12/2020;0
Invierno;27/12/2020;0
Invierno;28/12/2020;0
Invierno;29/12/2020;0
Invierno;30/12/2020;0
Invierno;31/12/2020;0
Invierno;01/01/2021;0
Invierno;02/01/2021;0
Invierno;03/01/2021;0
Invierno;04/01/2021;0
Invierno;05/01/2021;0
Invierno;06/01/2021;0
Invierno;07/01/2021;0
Invierno;08/01/2021;0
Invierno;09/01/2021;0
Invierno;10/01/2021;1
Invierno;11/01/2021;1
Invierno;12/01/2021;1
Invierno;13/01/2021;1
Invierno;14/01/2021;1
Invierno;15/01/2021;1
Invierno;16/01/2021;1
Invierno;17/01/2021;1
Invierno;18/01/2021;1
Invierno;19/01/2021;1
Invierno;20/01/2021;1
Invierno;21/01/2021;1
Invierno;22/01/2021;1
Invierno;23/01/2021;1
Invierno;24/01/2021;1
Invierno;25/01/2021;1
Invierno;26/01/2021;1
Invierno;27/01/2021;1
Invierno;28/01/2021;1
Invierno;29/01/2021;1
Invierno;30/01/2021;1
Invierno;31/01/2021;1
Invierno;01/02/2021;1
Invierno;02/02/2021;1
Invierno;03/02/2021;1
Invierno;04/02/2021;1
Invierno;05/02/2021;1
Invierno;06/02/2021;1
Invierno;07/02/2021;1
Invierno;08/02/2021;1
Invierno;09/02/2021;1
Invierno;10/02/2021;1
Invierno;11/02/2021;1
Invierno;12/02/2021;1
Invierno;13/02/2021;1
Invierno;14/02/2021;1
Invierno;15/02/2021;1
Invierno;16/02/2021;1
Invierno;17/02/2021;1
Invierno;18/02/2021;1
Invierno;19/02/2021;1
Invierno;20/02/2021;1
Invierno;21/02/2021;1
Invierno;22/02/2021;1
Invierno;23/02/2021;1
Invierno;24/02/2021;1
Invierno;25/02/2021;1
Invierno;26/02/2021;1
Invierno;27/02/2021;1
Invierno;28/02/2021;1
Invierno;01/03/2021;1
Invierno;02/03/2021;1
Invierno;03/03/2021;1
Invierno;04/03/2021;1
Invierno;05/03/2021;1
Invierno;06/03/2021;1
Invierno;07/03/2021;1
Invierno;08/03/2021;1
Invierno;09/03/2021;1
Invierno;10/03/2021;1
Invierno;11/03/2021;1
Invierno;12/03/2021;1
Invierno;13/03/2021;1
Invierno;14/03/2021;1
Invierno;15/03/2021;1
Invierno;16/03/2021;1
Invierno;17/03/2021;1
Invierno;18/03/2021;1
Invierno;19/03/2021;1
Primavera;20/03/2021;1
Primavera;21/03/2021;1
Primavera;22/03/2021;1
Primavera;23/03/2021;1
Primavera;24/03/2021;1
Primavera;25/03/2021;1
Primavera;26/03/2021;1
Primavera;27/03/2021;1
Primavera;28/03/2021;1
Primavera;29/03/2021;1
Primavera;30/03/2021;1
Primavera;31/03/2021;1
Primavera;01/04/2021;1
Primavera;02/04/2021;1
Primavera;03/04/2021;1
Primavera;04/04/2021;1
Primavera;05/04/2021;1
Primavera;06/04/2021;1
Primavera;07/04/2021;1
Primavera;08/04/2021;1
Primavera;09/04/2021;1
Primavera;10/04/2021;1
Primavera;11/04/2021;1
Primavera;12/04/2021;1
Primavera;13/04/2021;1
Primavera;14/04/2021;1
Primavera;15/04/2021;1
Primavera;16/04/2021;1
Primavera;17/04/2021;1
Primavera;18/04/2021;1
Primavera;19/04/2021;1
Primavera;20/04/2021;1
Primavera;21/04/2021;1
Primavera;22/04/2021;1
Primavera;23/04/2021;1
Primavera;24/04/2021;1
Primavera;25/04/2021;1
Primavera;26/04/2021;1
Primavera;27/04/2021;1
Primavera;28/04/2021;1
Primavera;29/04/2021;1
Primavera;30/04/2021;1
Primavera;01/05/2021;1
Primavera;02/05/2021;1
Primavera;03/05/2021;1
Primavera;04/05/2021;1
Primavera;05/05/2021;1
Primavera;06/05/2021;1
Primavera;07/05/2021;1
Primavera;08/05/2021;1
Primavera;09/05/2021;1
Primavera;10/05/2021;1
Primavera;11/05/2021;1
Primavera;12/05/2021;1
Primavera;13/05/2021;1
Primavera;14/05/2021;1
Primavera;15/05/2021;1
Primavera;16/05/2021;1
Primavera;17/05/2021;1
Primavera;18/05/2021;1
Primavera;19/05/2021;1
Primavera;20/05/2021;1
Primavera;21/05/2021;1
Primavera;22/05/2021;1
Primavera;23/05/2021;1
Primavera;24/05/2021;1
Primavera;25/05/2021;1
Primavera;26/05/2021;1
Primavera;27/05/2021;1
Primavera;28/05/2021;1
Primavera;29/05/2021;1
Primavera;30/05/2021;1
Primavera;31/05/2021;1
Primavera;01/06/2021;1
Primavera;02/06/2021;1
Primavera;03/06/2021;1
Primavera;04/06/2021;1
Primavera;05/06/2021;1
Primavera;06/06/2021;1
Primavera;07/06/2021;1
Primavera;08/06/2021;1
Primavera;09/06/2021;1
Primavera;10/06/2021;1
Primavera;11/06/2021;1
Primavera;12/06/2021;1
Primavera;13/06/2021;1
Primavera;14/06/2021;1
Primavera;15/06/2021;1
Primavera;16/06/2021;1
Primavera;17/06/2021;1
Primavera;18/06/2021;1
Primavera;19/06/2021;1
Primavera;20/06/2021;1
Verano;21/06/2021;1
Verano;22/06/2021;1
Verano;23/06/2021;1
Verano;24/06/2021;1
Verano;25/06/2021;0
Verano;26/06/2021;0
Verano;27/06/2021;0
Verano;28/06/2021;0
Verano;29/06/2021;0
Verano;30/06/2021;0
Verano;01/07/2021;0
Verano;02/07/2021;0
Verano;03/07/2021;0
Verano;04/07/2021;0
Verano;05/07/2021;0
Verano;06/07/2021;0
Verano;07/07/2021;0
Verano;08/07/2021;0
Verano;09/07/2021;0
Verano;10/07/2021;0
Verano;11/07/2021;0
Verano;12/07/2021;0
Verano;13/07/2021;0
Verano;14/07/2021;0
Verano;15/07/2021;0
Verano;16/07/2021;0
Verano;17/07/2021;0
Verano;18/07/2021;0
Verano;19/07/2021;0
Verano;20/07/2021;0
Verano;21/07/2021;0
Verano;22/07/2021;0
Verano;23/07/2021;0
Verano;24/07/2021;0
Verano;25/07/2021;0
Verano;26/07/2021;0
Verano;27/07/2021;0
Verano;28/07/2021;0
Verano;29/07/2021;0
Verano;30/07/2021;0
Verano;31/07/2021;0
Verano;01/08/2021;0
Verano;02/08/2021;0
Verano;03/08/2021;0
Verano;04/08/2021;0
Verano;05/08/2021;0
Verano;06/08/2021;0
Verano;07/08/2021;0
Verano;08/08/2021;0
Verano;09/08/2021;0
Verano;10/08/2021;0
Verano;11/08/2021;0
Verano;12/08/2021;0
Verano;13/08/2021;0
Verano;14/08/2021;0
Verano;15/08/2021;0
Verano;16/08/2021;0
Verano;17/08/2021;0
Verano;18/08/2021;0
Verano;19/08/2021;0
Verano;20/08/2021;0
Verano;21/08/2021;0
Verano;22/08/2021;0
Verano;23/08/2021;0
Verano;24/08/2021;0
Verano;25/08/2021;0
Verano;26/08/2021;0
Verano;27/08/2021;0
Verano;28/08/2021;0
Verano;29/08/2021;0
Verano;30/08/2021;0
Verano;31/08/2021;0
Verano;01/09/2021;0
Verano;02/09/2021;0
Verano;03/09/2021;0
Verano;04/09/2021;0
Verano;05/09/2021;0
Verano;06/09/2021;0
Verano;07/09/2021;1
Verano;08/09/2021;1
Verano;09/09/2021;1
Verano;10/09/2021;1
Verano;11/09/2021;1
Verano;12/09/2021;1
Verano;13/09/2021;1
Verano;14/09/2021;1
Verano;15/09/2021;1
Verano;16/09/2021;1
Verano;17/09/2021;1
Verano;18/09/2021;1
